Simulation #20, Parameters: eta = 0.102477 | rho = 0.243300 | v0 = 0.424534s
Step 450000 | Order = 0.84660465254778194 | Time = 186s
Step 451000 | Order = 0.85813970521398175 | Time = 187s
Step 452000 | Order = 0.85065239597353071 | Time = 187s
Step 453000 | Order = 0.85403756516141993 | Time = 188s
Step 454000 | Order = 0.87162701953572364 | Time = 188s
Step 455000 | Order = 0.84964124197407676 | Time = 188s
Step 456000 | Order = 0.86044034174675488 | Time = 189s
Step 457000 | Order = 0.85551087573627749 | Time = 189s
Step 458000 | Order = 0.86264176375207713 | Time = 189s
Step 459000 | Order = 0.87000594782715468 | Time = 190s
Step 460000 | Order = 0.87827604542732918 | Time = 190s
Step 461000 | Order = 0.85918292314007194 | Time = 191s
Step 462000 | Order = 0.87260189107838748 | Time = 191s
Step 463000 | Order = 0.86269334212819715 | Time = 191s
Step 464000 | Order = 0.8587503076387365 | Time = 192s
Step 465000 | Order = 0.84595545760603286 | Time = 192s
Step 466000 | Order = 0.86031413986943295 | Time = 193s
Step 467000 | Order = 0.86919384932906341 | Time = 193s
Step 468000 | Order = 0.87033553531192753 | Time = 194s
Step 469000 | Order = 0.86593953666791679 | Time = 194s
Step 470000 | Order = 0.87534124116800549 | Time = 194s
Step 471000 | Order = 0.83954839512292156 | Time = 195s
Step 472000 | Order = 0.86140163877895182 | Time = 195s
Step 473000 | Order = 0.85495361089422406 | Time = 195s
Step 474000 | Order = 0.86691364454365138 | Time = 196s
Step 475000 | Order = 0.85245367546431494 | Time = 196s
Step 476000 | Order = 0.85405098720307149 | Time = 197s
Step 477000 | Order = 0.87013941742353251 | Time = 197s
Step 478000 | Order = 0.83546386093066838 | Time = 197s
Step 479000 | Order = 0.86334812186891796 | Time = 198s
Step 480000 | Order = 0.86976444064384539 | Time = 198s
Step 481000 | Order = 0.8568303566745008 | Time = 199s
Step 482000 | Order = 0.86315449437361902 | Time = 199s
Step 483000 | Order = 0.85279618258457712 | Time = 199s
Step 484000 | Order = 0.86225328327808026 | Time = 200s
Step 485000 | Order = 0.83798453510447857 | Time = 200s
Step 486000 | Order = 0.88017353147633981 | Time = 200s
Step 487000 | Order = 0.85914310209830635 | Time = 201s
Step 488000 | Order = 0.87343141841821248 | Time = 201s
Step 489000 | Order = 0.86527699622208942 | Time = 202s
Step 490000 | Order = 0.85592057913965902 | Time = 202s
Step 491000 | Order = 0.85847378602801006 | Time = 203s
Step 492000 | Order = 0.86476184920949761 | Time = 203s
