Simulation #158, Parameters: eta = 0.748393 | rho = 0.366830 | v0 = 0.0418943s
Step 345000 | Order = 0.0048475944046879821 | Time = 151s
Step 346000 | Order = 0.018648459327612429 | Time = 151s
Step 347000 | Order = 0.0027785636220292119 | Time = 152s
Step 348000 | Order = 0.015638653420482911 | Time = 152s
Step 349000 | Order = 0.010911174101869864 | Time = 152s
Step 350000 | Order = 0.0063925774715851529 | Time = 153s
Step 351000 | Order = 0.011535675618626793 | Time = 153s
Step 352000 | Order = 0.003032933760059006 | Time = 154s
Step 353000 | Order = 0.013944595516746755 | Time = 154s
Step 354000 | Order = 0.0057983043724579011 | Time = 155s
Step 355000 | Order = 0.014809636047881394 | Time = 155s
Step 356000 | Order = 0.024348781321653572 | Time = 156s
Step 357000 | Order = 0.0039479213053613665 | Time = 157s
Step 358000 | Order = 0.018976723052189559 | Time = 157s
Step 359000 | Order = 0.023053506988500762 | Time = 157s
Step 360000 | Order = 0.012181102282654321 | Time = 158s
Step 361000 | Order = 0.0066239479354519943 | Time = 158s
Step 362000 | Order = 0.0045202942823769129 | Time = 159s
Step 363000 | Order = 0.01207116619954025 | Time = 159s
Step 364000 | Order = 0.0038468538548152025 | Time = 160s
Step 365000 | Order = 0.026146125433379453 | Time = 160s
Step 366000 | Order = 0.0028258189721241714 | Time = 160s
Step 367000 | Order = 0.0041984917886168597 | Time = 161s
Step 368000 | Order = 0.012729582460974588 | Time = 161s
Step 369000 | Order = 0.013769015180528945 | Time = 162s
Step 370000 | Order = 0.0041314345802214705 | Time = 162s
Step 371000 | Order = 0.020837214556459586 | Time = 163s
Step 372000 | Order = 0.0027578677993647651 | Time = 163s
Step 373000 | Order = 0.0096178649460828252 | Time = 163s
Step 374000 | Order = 0.0080193219500018561 | Time = 164s
Step 375000 | Order = 0.0068251225806683722 | Time = 164s
Step 376000 | Order = 0.010127539269403863 | Time = 165s
Step 377000 | Order = 0.010903954660212264 | Time = 165s
Step 378000 | Order = 0.010748036810277502 | Time = 166s
Step 379000 | Order = 0.0044347512452578399 | Time = 166s
Step 380000 | Order = 0.015060274597751845 | Time = 166s
Step 381000 | Order = 0.020439863656353641 | Time = 167s
Step 382000 | Order = 0.014871770858115772 | Time = 167s
Step 383000 | Order = 0.0017597918877643498 | Time = 168s
Step 384000 | Order = 0.024396344357393299 | Time = 168s
Step 385000 | Order = 0.011415107146192503 | Time = 169s
Step 386000 | Order = 0.0067758821815136283 | Time = 169s
Step 387000 | Order = 0.0069245411040368948 | Time = 169s
Step 388000 | Order = 0.021247134912035719 | Time = 170s
Step 389000 | Order = 0.010064323796395661 | Time = 170s
Step 390000 | Order = 0.011801192061229865 | Time = 171s
