Simulation #5, Parameters: eta = 0.824178 | rho = 0.203223 | v0 = 0.0105289s
Step 219000 | Order = 0.021496420050312572 | Time = 53s
Step 220000 | Order = 0.012479500097972024 | Time = 53s
Step 221000 | Order = 0.0079080250073609113 | Time = 53s
Step 222000 | Order = 0.011124448196335349 | Time = 54s
Step 223000 | Order = 0.0092563850814215386 | Time = 54s
Step 224000 | Order = 0.026283589951684661 | Time = 54s
Step 225000 | Order = 0.017440472136763707 | Time = 54s
Step 226000 | Order = 0.022714311066011603 | Time = 55s
Step 227000 | Order = 0.036705672683505816 | Time = 55s
Step 228000 | Order = 0.022095039858589818 | Time = 55s
Step 229000 | Order = 0.017174009264216087 | Time = 55s
Step 230000 | Order = 0.01630389642044688 | Time = 56s
Step 231000 | Order = 0.0056538282384811208 | Time = 56s
Step 232000 | Order = 0.038414582967155719 | Time = 56s
Step 233000 | Order = 0.012347551017776796 | Time = 56s
Step 234000 | Order = 0.020855925288971157 | Time = 57s
Step 235000 | Order = 0.019483654527783403 | Time = 57s
Step 236000 | Order = 0.03014230309785149 | Time = 57s
Step 237000 | Order = 0.011463861235673395 | Time = 57s
Step 238000 | Order = 0.0073888109209228206 | Time = 58s
Step 239000 | Order = 0.012565418932089846 | Time = 58s
Step 240000 | Order = 0.0041241339593894224 | Time = 58s
Step 241000 | Order = 0.015011811126050718 | Time = 58s
Step 242000 | Order = 0.014571644702744068 | Time = 58s
Step 243000 | Order = 0.013793294617678992 | Time = 59s
Step 244000 | Order = 0.014699982385689859 | Time = 59s
Step 245000 | Order = 0.019191765601274856 | Time = 59s
Step 246000 | Order = 0.0039077757422751463 | Time = 59s
Step 247000 | Order = 0.016354708063995308 | Time = 60s
Step 248000 | Order = 0.015172557837402829 | Time = 60s
Step 249000 | Order = 0.019839931707432746 | Time = 60s
Step 250000 | Order = 0.02431362638705022 | Time = 60s
Step 251000 | Order = 0.013293357116105135 | Time = 61s
Step 252000 | Order = 0.01524911709483367 | Time = 61s
Step 253000 | Order = 0.013960800744793771 | Time = 61s
Step 254000 | Order = 0.018206152741248365 | Time = 61s
Step 255000 | Order = 0.021487229590736893 | Time = 62s
Step 256000 | Order = 0.0096943092930877033 | Time = 62s
Step 257000 | Order = 0.0032113406691633554 | Time = 62s
Step 258000 | Order = 0.009835628480744707 | Time = 62s
Step 259000 | Order = 0.01149804512815115 | Time = 63s
Step 260000 | Order = 0.014202502751130689 | Time = 63s
Step 261000 | Order = 0.017180222184608452 | Time = 63s
Step 262000 | Order = 0.013205068161467369 | Time = 63s
