Simulation #55, Parameters: eta = 0.160282 | rho = 0.207730 | v0 = 0.449991s
Step 193000 | Order = 0.64187923831247096 | Time = 58s
Step 194000 | Order = 0.63912570114725809 | Time = 58s
Step 195000 | Order = 0.70497835755434191 | Time = 58s
Step 196000 | Order = 0.66666079988931104 | Time = 59s
Step 197000 | Order = 0.65326902102582129 | Time = 59s
Step 198000 | Order = 0.68889855324395421 | Time = 59s
Step 199000 | Order = 0.63608151336786045 | Time = 60s
Step 200000 | Order = 0.66302685712207832 | Time = 60s
Step 201000 | Order = 0.55964621550352245 | Time = 60s
Step 202000 | Order = 0.58103547775552944 | Time = 61s
Step 203000 | Order = 0.63010047529202362 | Time = 61s
Step 204000 | Order = 0.67273788145499458 | Time = 61s
Step 205000 | Order = 0.63558189683087529 | Time = 61s
Step 206000 | Order = 0.68013768711569855 | Time = 62s
Step 207000 | Order = 0.69039793793925863 | Time = 62s
Step 208000 | Order = 0.63216795059521524 | Time = 62s
Step 209000 | Order = 0.65477462055913405 | Time = 63s
Step 210000 | Order = 0.64664441325417243 | Time = 63s
Step 211000 | Order = 0.64773500828832098 | Time = 63s
Step 212000 | Order = 0.56694451499821186 | Time = 64s
Step 213000 | Order = 0.63499056192809356 | Time = 64s
Step 214000 | Order = 0.6273553391858242 | Time = 64s
Step 215000 | Order = 0.59007060286623358 | Time = 64s
Step 216000 | Order = 0.50057406722295028 | Time = 65s
Step 217000 | Order = 0.65531039274074943 | Time = 65s
Step 218000 | Order = 0.57342418283668373 | Time = 65s
Step 219000 | Order = 0.62645009224966541 | Time = 66s
Step 220000 | Order = 0.65964814491580082 | Time = 66s
Step 221000 | Order = 0.63941428163737091 | Time = 66s
Step 222000 | Order = 0.68186865203068825 | Time = 67s
Step 223000 | Order = 0.6649454957119344 | Time = 67s
Step 224000 | Order = 0.5697055360557387 | Time = 67s
Step 225000 | Order = 0.66268990204857092 | Time = 68s
Step 226000 | Order = 0.72482882100373414 | Time = 68s
Step 227000 | Order = 0.652342696416644 | Time = 68s
Step 228000 | Order = 0.62250497058112653 | Time = 68s
Step 229000 | Order = 0.6806976660224735 | Time = 69s
Step 230000 | Order = 0.65054068962467038 | Time = 69s
Step 231000 | Order = 0.65991154235243554 | Time = 69s
Step 232000 | Order = 0.68439347974808107 | Time = 70s
Step 233000 | Order = 0.69200312805034425 | Time = 70s
Step 234000 | Order = 0.64181828802754426 | Time = 70s
Step 235000 | Order = 0.66525547899788384 | Time = 71s
Step 236000 | Order = 0.64478194930931176 | Time = 71s
Step 237000 | Order = 0.62963335248730745 | Time = 71s
Step 238000 | Order = 0.62926676084798738 | Time = 72s
Step 239000 | Order = 0.66254055240774612 | Time = 72s
Step 240000 | Order = 0.67489734578303695 | Time = 72s
Step 241000 | Order = 0.62653869540624374 | Time = 72s
Step 242000 | Order = 0.62289474881255624 | Time = 73s
Step 243000 | Order = 0.58912331739023971 | Time = 73s
Step 244000 | Order = 0.62683645758131268 | Time = 73s
Step 245000 | Order = 0.62170776998858446 | Time = 74s
Step 246000 | Order = 0.53143788716156093 | Time = 74s
Step 247000 | Order = 0.65814804499713919 | Time = 74s
Step 248000 | Order = 0.64404585985141205 | Time = 75s
Step 249000 | Order = 0.63388915996755968 | Time = 75s
Step 250000 | Order = 0.65298910354103334 | Time = 75s
Step 251000 | Order = 0.6033001560883412 | Time = 76s
Step 252000 | Order = 0.65811893127939525 | Time = 76s
Step 253000 | Order = 0.62749571280406635 | Time = 76s
Step 254000 | Order = 0.67164793555737001 | Time = 76s
Step 255000 | Order = 0.64825838395063173 | Time = 77s
Step 256000 | Order = 0.66953379505178079 | Time = 77s
Step 257000 | Order = 0.66205029538042259 | Time = 77s
Step 258000 | Order = 0.65481172134152377 | Time = 78s
Step 259000 | Order = 0.65851432641507102 | Time = 78s
Step 260000 | Order = 0.66702510545126259 | Time = 78s
Step 261000 | Order = 0.69472559483680174 | Time = 79s
Step 262000 | Order = 0.6290685480795476 | Time = 79s
Step 263000 | Order = 0.63062699515227871 | Time = 79s
Step 264000 | Order = 0.59111485249041906 | Time = 79s
Step 265000 | Order = 0.64447743717927108 | Time = 80s
Step 266000 | Order = 0.66267298687759302 | Time = 80s
Step 267000 | Order = 0.59722643460902869 | Time = 80s
Step 268000 | Order = 0.65646495196958998 | Time = 81s
Step 269000 | Order = 0.71034840394056675 | Time = 81s
Step 270000 | Order = 0.68015168899703404 | Time = 81s
Step 271000 | Order = 0.45939264262507257 | Time = 82s
Step 272000 | Order = 0.62822990625626352 | Time = 82s
Step 273000 | Order = 0.63229681712539865 | Time = 82s
Step 274000 | Order = 0.67915925563415935 | Time = 82s
Step 275000 | Order = 0.6399064997201479 | Time = 83s
Step 276000 | Order = 0.66863356478508029 | Time = 83s
Step 277000 | Order = 0.68346825235880104 | Time = 83s
Step 278000 | Order = 0.7025960326659616 | Time = 84s
Step 279000 | Order = 0.61917980468734068 | Time = 84s
Step 280000 | Order = 0.59849022232190585 | Time = 84s
Step 281000 | Order = 0.56740731146010026 | Time = 85s
Step 282000 | Order = 0.62674133827967093 | Time = 85s
Step 283000 | Order = 0.68012892858627894 | Time = 85s
Step 284000 | Order = 0.69526266220442512 | Time = 85s
