
#0:
   ##1 - order: 0.015, binder: 0.421
   ##2 - order: 0.015, binder: 0.246
   ##3 - order: 0.014, binder: 0.324
   ##4 - order: 0.015, binder: 0.414
   Final - Mean Order: 0.015, Mean Binder: 0.334

#77:
   ##0 - order: 0.007, binder: 0.298
   ##1 - order: 0.006, binder: 0.34
   ##2 - order: 0.007, binder: 0.365
   ##3 - order: 0.007, binder: 0.386
   ##4 - order: 0.007, binder: 0.439
   Final - Mean Order: 0.007, Mean Binder: 0.366

#78:
   ##0 - order: 0.01, binder: 0.299
   ##1 - order: 0.011, binder: 0.325
   ##2 - order: 0.011, binder: 0.323
   ##3 - order: 0.01, binder: 0.25
   ##4 - order: 0.011, binder: 0.416
   Final - Mean Order: 0.011, Mean Binder: 0.323

#79:
   ##0 - order: 0.981, binder: 0.667
   ##1 - order: 0.982, binder: 0.667
   ##2 - order: 0.982, binder: 0.667
   ##3 - order: 0.981, binder: 0.667
   ##4 - order: 0.981, binder: 0.667
   Final - Mean Order: 0.981, Mean Binder: 0.667

#80:
   ##0 - order: 0.54, binder: 0.636
   ##1 - order: 0.541, binder: 0.646
   ##2 - order: 0.554, binder: 0.646
   ##3 - order: 0.535, binder: 0.643
   ##4 - order: 0.552, binder: 0.641
   Final - Mean Order: 0.544, Mean Binder: 0.642

#81:
   ##0 - order: 0.037, binder: 0.228
   ##1 - order: 0.038, binder: 0.326
   ##2 - order: 0.038, binder: 0.374
   ##3 - order: 0.036, binder: 0.371
   ##4 - order: 0.037, binder: 0.314
   Final - Mean Order: 0.037, Mean Binder: 0.322

#82:
   ##0 - order: 0.008, binder: 0.331
   ##1 - order: 0.007, binder: 0.274
   ##2 - order: 0.007, binder: 0.319
   ##3 - order: 0.007, binder: 0.313
   ##4 - order: 0.007, binder: 0.334
   Final - Mean Order: 0.007, Mean Binder: 0.314

#83:
   ##0 - order: 0.039, binder: 0.359
   ##1 - order: 0.041, binder: 0.293
   ##2 - order: 0.043, binder: 0.358
   ##3 - order: 0.042, binder: 0.374
   ##4 - order: 0.042, binder: 0.395
   Final - Mean Order: 0.041, Mean Binder: 0.356

#84:
   ##0 - order: 0.038, binder: 0.337
   ##1 - order: 0.036, binder: 0.294
   ##2 - order: 0.038, binder: 0.313
   ##3 - order: 0.037, binder: 0.369
   ##4 - order: 0.039, binder: 0.357
   Final - Mean Order: 0.038, Mean Binder: 0.334

#85:
   ##0 - order: 0.816, binder: 0.666
   ##1 - order: 0.813, binder: 0.666
   ##2 - order: 0.812, binder: 0.665
   ##3 - order: 0.814, binder: 0.666
   ##4 - order: 0.816, binder: 0.666
   Final - Mean Order: 0.814, Mean Binder: 0.666

#86:
   ##0 - order: 0.023, binder: 0.379
   ##1 - order: 0.024, binder: 0.277
   ##2 - order: 0.022, binder: 0.346
   ##3 - order: 0.025, binder: 0.353
   ##4 - order: 0.022, binder: 0.311
   Final - Mean Order: 0.023, Mean Binder: 0.333

#87:
   ##0 - order: 0.02, binder: 0.336
   ##1 - order: 0.02, binder: 0.33
   ##2 - order: 0.019, binder: 0.312
   ##3 - order: 0.022, binder: 0.381
   ##4 - order: 0.019, binder: 0.376
   Final - Mean Order: 0.02, Mean Binder: 0.347

#88:
   ##0 - order: 0.954, binder: 0.665
   ##1 - order: 0.962, binder: 0.666
   ##2 - order: 0.959, binder: 0.666
   ##3 - order: 0.96, binder: 0.666
   ##4 - order: 0.958, binder: 0.666
   Final - Mean Order: 0.959, Mean Binder: 0.666

#89:
   ##0 - order: 0.314, binder: 0.52
   ##1 - order: 0.351, binder: 0.584
   ##2 - order: 0.327, binder: 0.544
   ##3 - order: 0.326, binder: 0.546
   ##4 - order: 0.288, binder: 0.489
   Final - Mean Order: 0.321, Mean Binder: 0.536

#90:
   ##0 - order: 0.021, binder: 0.365
   ##1 - order: 0.021, binder: 0.305
   ##2 - order: 0.021, binder: 0.284
   ##3 - order: 0.022, binder: 0.335
   ##4 - order: 0.022, binder: 0.347
   Final - Mean Order: 0.021, Mean Binder: 0.327

#91:
   ##0 - order: 0.091, binder: 0.381
   ##1 - order: 0.087, binder: 0.39
