Simulation #0, Parameters: eta = 0.813919 | rho = 0.382139 | v0 = 0.113207s
Step 206000 | Order = 0.011318151660333313 | Time = 94s
Step 207000 | Order = 0.0013597316048116676 | Time = 95s
Step 208000 | Order = 0.023417209760526921 | Time = 95s
Step 209000 | Order = 0.0011196967898217307 | Time = 96s
Step 210000 | Order = 0.019571251767579092 | Time = 96s
Step 211000 | Order = 0.01980109825534038 | Time = 96s
Step 212000 | Order = 0.018906557159714066 | Time = 97s
Step 213000 | Order = 0.0073999499707029419 | Time = 97s
Step 214000 | Order = 0.020886743902814444 | Time = 98s
Step 215000 | Order = 0.0049018380671158393 | Time = 98s
Step 216000 | Order = 0.0076825122707239613 | Time = 99s
Step 217000 | Order = 0.0051792213499278509 | Time = 99s
Step 218000 | Order = 0.010892447869097087 | Time = 100s
Step 219000 | Order = 0.0071500508199511467 | Time = 100s
Step 220000 | Order = 0.01518617317913705 | Time = 101s
Step 221000 | Order = 0.0088007135917735121 | Time = 101s
Step 222000 | Order = 0.0075109195852937766 | Time = 102s
Step 223000 | Order = 0.0051013679607709705 | Time = 102s
Step 224000 | Order = 0.017502065624985477 | Time = 102s
Step 225000 | Order = 0.0094624029380194138 | Time = 103s
Step 226000 | Order = 0.0084544489325276192 | Time = 103s
Step 227000 | Order = 0.0027995047849300654 | Time = 104s
Step 228000 | Order = 0.014119006949332288 | Time = 104s
Step 229000 | Order = 0.0058805972130563169 | Time = 105s
Step 230000 | Order = 0.019515504015025737 | Time = 105s
Step 231000 | Order = 0.0074381088540059915 | Time = 106s
Step 232000 | Order = 0.011651989088124821 | Time = 106s
Step 233000 | Order = 0.024614281602367828 | Time = 107s
Step 234000 | Order = 0.0089572981021068775 | Time = 107s
Step 235000 | Order = 0.011017489244835492 | Time = 107s
Step 236000 | Order = 0.0126253463704209 | Time = 108s
Step 237000 | Order = 0.0031623558837664371 | Time = 108s
Step 238000 | Order = 0.0046326829063242812 | Time = 109s
Step 239000 | Order = 0.0081491128883497306 | Time = 109s
Step 240000 | Order = 0.011921061093304737 | Time = 110s
Step 241000 | Order = 0.0090181973164246056 | Time = 110s
Step 242000 | Order = 0.012475706103553254 | Time = 111s
Step 243000 | Order = 0.0047797296969742629 | Time = 111s
Step 244000 | Order = 0.011797868389321699 | Time = 112s
Step 245000 | Order = 0.030779505825326084 | Time = 112s
Step 246000 | Order = 0.01179521633131376 | Time = 112s
Step 247000 | Order = 0.011296162368717189 | Time = 113s
Step 248000 | Order = 0.014041671073220819 | Time = 113s
Step 249000 | Order = 0.01422088794101661 | Time = 114s
Step 250000 | Order = 0.0050388233187280669 | Time = 114s
Step 251000 | Order = 0.0093027795423943332 | Time = 115s
Step 252000 | Order = 0.014792441418565783 | Time = 115s
Step 253000 | Order = 0.0077207500111521436 | Time = 116s
Step 254000 | Order = 0.011766494637469463 | Time = 116s
Step 255000 | Order = 0.0037586127133145543 | Time = 117s
Step 256000 | Order = 0.013928565816149574 | Time = 117s
Step 257000 | Order = 0.02271405914818251 | Time = 118s
Step 258000 | Order = 0.0092317654592719445 | Time = 118s
Step 259000 | Order = 0.0076080573027751067 | Time = 119s
Step 260000 | Order = 0.0098168866529918675 | Time = 119s
Step 261000 | Order = 0.015537972957709031 | Time = 119s
Step 262000 | Order = 0.016697433428745419 | Time = 120s
Step 263000 | Order = 0.012340131974899192 | Time = 120s
Step 264000 | Order = 0.0085852952396490885 | Time = 121s
Step 265000 | Order = 0.014962776500054979 | Time = 121s
Step 266000 | Order = 0.014190337079562675 | Time = 122s
Step 267000 | Order = 0.012291306044849825 | Time = 122s
Step 268000 | Order = 0.006281649858615318 | Time = 123s
Step 269000 | Order = 0.01857800028275134 | Time = 123s
Step 270000 | Order = 0.020976616596089435 | Time = 124s
Step 271000 | Order = 0.0077848031909132104 | Time = 124s
Step 272000 | Order = 0.012286906935067458 | Time = 124s
Step 273000 | Order = 0.0040219293483529312 | Time = 125s
Step 274000 | Order = 0.01078745579439265 | Time = 125s
Step 275000 | Order = 0.0068290988479177079 | Time = 126s
Step 276000 | Order = 0.016507027094713758 | Time = 126s
Step 277000 | Order = 0.0031815908296052567 | Time = 127s
Step 278000 | Order = 0.0034306477631870181 | Time = 127s
Step 279000 | Order = 0.020775150102572131 | Time = 128s
Step 280000 | Order = 0.0034331294366547801 | Time = 128s
Step 281000 | Order = 0.019424339775507359 | Time = 129s
Step 282000 | Order = 0.007610109716209794 | Time = 129s
Step 283000 | Order = 0.012743165738367182 | Time = 129s
Step 284000 | Order = 0.017672953537504938 | Time = 130s
Step 285000 | Order = 0.0095334557215088749 | Time = 130s
Step 286000 | Order = 0.010987248349683783 | Time = 131s
Step 287000 | Order = 0.0070225629861024683 | Time = 131s
Step 288000 | Order = 0.0067537003073344076 | Time = 132s
Step 289000 | Order = 0.013819340535312939 | Time = 132s
Step 290000 | Order = 0.011006214450585142 | Time = 133s
Step 291000 | Order = 0.010801524034008149 | Time = 133s
Step 292000 | Order = 0.0072897443733940899 | Time = 134s
Step 293000 | Order = 0.0083139254056228268 | Time = 134s
Step 294000 | Order = 0.01797313776030909 | Time = 134s
Step 295000 | Order = 0.0077826832465481997 | Time = 135s
Step 296000 | Order = 0.0054403562737035125 | Time = 135s
Step 297000 | Order = 0.012142002539666399 | Time = 136s
Step 298000 | Order = 0.009154018441441189 | Time = 136s
Step 299000 | Order = 0.007503239224941268 | Time = 137s
Step 300000 | Order = 0.015711214447851698 | Time = 137s
Step 301000 | Order = 0.025613974970913615 | Time = 138s
Step 302000 | Order = 0.018675007474950885 | Time = 138s
Step 303000 | Order = 0.011902814002353197 | Time = 139s
Step 304000 | Order = 0.0085656826519643695 | Time = 139s
Step 305000 | Order = 0.018329077351622165 | Time = 140s
Step 306000 | Order = 0.012072085989587618 | Time = 140s
Step 307000 | Order = 0.0096504914857528813 | Time = 140s
Step 308000 | Order = 0.011575725764570898 | Time = 141s
Step 309000 | Order = 0.01563558023337315 | Time = 141s
Step 310000 | Order = 0.023499112056942526 | Time = 142s
Step 311000 | Order = 0.010419142305198043 | Time = 142s
Step 312000 | Order = 0.0030850731520585795 | Time = 143s
Step 313000 | Order = 0.016518414635153311 | Time = 143s
Step 314000 | Order = 0.020088260648303706 | Time = 144s
Step 315000 | Order = 0.0039081254492144158 | Time = 144s
Step 316000 | Order = 0.002745087015157023 | Time = 145s
Step 317000 | Order = 0.013296738582106346 | Time = 145s
Step 318000 | Order = 0.014400635879949919 | Time = 146s
Step 319000 | Order = 0.0083786682452911196 | Time = 146s
Step 320000 | Order = 0.0012250143774640363 | Time = 146s
Step 321000 | Order = 0.011460181091981127 | Time = 147s
Step 322000 | Order = 0.0035219608228286045 | Time = 147s
Step 323000 | Order = 0.0020799894578244047 | Time = 148s
Step 324000 | Order = 0.0034125873057706743 | Time = 148s
Step 325000 | Order = 0.0089829520030675937 | Time = 149s
Step 326000 | Order = 0.015123255448152406 | Time = 149s
Step 327000 | Order = 0.0037719919331074929 | Time = 150s
Step 328000 | Order = 0.022461449717230072 | Time = 150s
Step 329000 | Order = 0.013423087975584135 | Time = 151s
Step 330000 | Order = 0.014850283102773497 | Time = 151s
Step 331000 | Order = 0.010068665857677 | Time = 151s
Step 332000 | Order = 0.021569808701846372 | Time = 152s
Step 333000 | Order = 0.0053429369771925399 | Time = 152s
Step 334000 | Order = 0.0018418674159133418 | Time = 153s
Step 335000 | Order = 0.0065790333117738764 | Time = 153s
Step 336000 | Order = 0.0038286218460222574 | Time = 154s
Step 337000 | Order = 0.0048657996640908288 | Time = 154s
Step 338000 | Order = 0.021658850788152859 | Time = 155s
