Simulation #23, Parameters: eta = 0.434274 | rho = 0.112604 | v0 = 0.0565273s
Step 296000 | Order = 0.028561377614089188 | Time = 78s
Step 297000 | Order = 0.0282608008051713 | Time = 79s
Step 298000 | Order = 0.016407738742493308 | Time = 79s
Step 299000 | Order = 0.017444051923799241 | Time = 79s
Step 300000 | Order = 0.031492793212312208 | Time = 79s
Step 301000 | Order = 0.006572427384465747 | Time = 82s
Step 302000 | Order = 0.0023971296270373305 | Time = 82s
Step 303000 | Order = 0.011510313815397166 | Time = 82s
Step 304000 | Order = 0.017612869257369507 | Time = 83s
Step 305000 | Order = 0.038432719980956986 | Time = 83s
Step 306000 | Order = 0.016698959364171956 | Time = 83s
Step 307000 | Order = 0.030887394636592111 | Time = 83s
Step 308000 | Order = 0.05447852670607245 | Time = 84s
Step 309000 | Order = 0.028816545867851758 | Time = 84s
Step 310000 | Order = 0.049340919203342229 | Time = 84s
Step 311000 | Order = 0.033034195436077038 | Time = 84s
Step 312000 | Order = 0.031491556737614522 | Time = 85s
Step 313000 | Order = 0.024605808526034591 | Time = 85s
Step 314000 | Order = 0.022754816857403649 | Time = 85s
Step 315000 | Order = 0.034546087899428271 | Time = 85s
Step 316000 | Order = 0.043355596872832414 | Time = 86s
Step 317000 | Order = 0.0012156238795561084 | Time = 86s
Step 318000 | Order = 0.037982659992783128 | Time = 86s
Step 319000 | Order = 0.013441960766499934 | Time = 86s
Step 320000 | Order = 0.038706231789551182 | Time = 86s
Step 321000 | Order = 0.014290182227092593 | Time = 87s
Step 322000 | Order = 0.038541625885905463 | Time = 87s
Step 323000 | Order = 0.032787570759757571 | Time = 87s
Step 324000 | Order = 0.043693923521622387 | Time = 87s
Step 325000 | Order = 0.012890325535908888 | Time = 88s
Step 326000 | Order = 0.04855894688865877 | Time = 88s
Step 327000 | Order = 0.011733422590232183 | Time = 88s
Step 328000 | Order = 0.070276220122781063 | Time = 88s
Step 329000 | Order = 0.040578852050732708 | Time = 88s
Step 330000 | Order = 0.013236023281653577 | Time = 89s
Step 331000 | Order = 0.019402043115062346 | Time = 89s
Step 332000 | Order = 0.05626316869812955 | Time = 89s
Step 333000 | Order = 0.049804298938572737 | Time = 89s
Step 334000 | Order = 0.04690468905827519 | Time = 89s
Step 335000 | Order = 0.015728367218933177 | Time = 90s
Step 336000 | Order = 0.026862264110606354 | Time = 90s
Step 337000 | Order = 0.018942122806916671 | Time = 90s
Step 338000 | Order = 0.044673484719996555 | Time = 91s
Step 339000 | Order = 0.033534885910036963 | Time = 91s
Step 340000 | Order = 0.02964988322072111 | Time = 91s
Step 341000 | Order = 0.012529181846120127 | Time = 91s
Step 342000 | Order = 0.010614537858116351 | Time = 91s
Step 343000 | Order = 0.019332885846837459 | Time = 92s
Step 344000 | Order = 0.0088860464991496295 | Time = 92s
Step 345000 | Order = 0.051784506050667499 | Time = 92s
Step 346000 | Order = 0.016706016227310366 | Time = 92s
Step 347000 | Order = 0.037430967101511101 | Time = 92s
Step 348000 | Order = 0.020961532877813768 | Time = 93s
Step 349000 | Order = 0.034651446926764334 | Time = 93s
Step 350000 | Order = 0.026871357773299319 | Time = 93s
Step 351000 | Order = 0.034801719154937648 | Time = 97s
Step 352000 | Order = 0.011184086526775 | Time = 97s
Step 353000 | Order = 0.024640560633864255 | Time = 97s
Step 354000 | Order = 0.0059910665733730302 | Time = 98s
Step 355000 | Order = 0.053080905078641848 | Time = 98s
Step 356000 | Order = 0.036093335050410534 | Time = 98s
Step 357000 | Order = 0.010356733543421594 | Time = 98s
Step 358000 | Order = 0.029316406649645757 | Time = 99s
Step 359000 | Order = 0.030432687788594051 | Time = 99s
Step 360000 | Order = 0.050316363060090928 | Time = 99s
Step 361000 | Order = 0.040097008701311568 | Time = 99s
Step 362000 | Order = 0.0155293809338037 | Time = 99s
Step 363000 | Order = 0.046287124526126613 | Time = 100s
Step 364000 | Order = 0.031599416893719375 | Time = 100s
Step 365000 | Order = 0.032811762580153989 | Time = 100s
Step 366000 | Order = 0.014228424936042434 | Time = 100s
Step 367000 | Order = 0.016972470682568009 | Time = 101s
Step 368000 | Order = 0.028324959273138651 | Time = 101s
Step 369000 | Order = 0.025324715578762973 | Time = 101s
Step 370000 | Order = 0.05419880426436164 | Time = 101s
Step 371000 | Order = 0.035365589260305835 | Time = 101s
Step 372000 | Order = 0.013825414992078148 | Time = 102s
Step 373000 | Order = 0.010520525282961699 | Time = 102s
Step 374000 | Order = 0.013500336685427385 | Time = 102s
Step 375000 | Order = 0.021501039113887156 | Time = 102s
Step 376000 | Order = 0.035861456172267443 | Time = 103s
Step 377000 | Order = 0.038038086817866565 | Time = 103s
Step 378000 | Order = 0.0058702397198403828 | Time = 103s
Step 379000 | Order = 0.015281273141276376 | Time = 103s
Step 380000 | Order = 0.0031017074809272949 | Time = 104s
Step 381000 | Order = 0.024331722681813505 | Time = 104s
Step 382000 | Order = 0.025877041367057294 | Time = 104s
Step 383000 | Order = 0.01868251224852369 | Time = 104s
Step 384000 | Order = 0.021097887450829533 | Time = 104s
Step 385000 | Order = 0.02147476941279548 | Time = 105s
Step 386000 | Order = 0.05996993736956871 | Time = 105s
Step 387000 | Order = 0.0067887607119917022 | Time = 105s
