Simulation #37, Parameters: eta = 0.124886 | rho = 0.178772 | v0 = 0.0130329s
Step 428000 | Order = 0.43560994395739661 | Time = 156s
Step 429000 | Order = 0.41035966698769066 | Time = 157s
Step 430000 | Order = 0.39153732693580018 | Time = 157s
Step 431000 | Order = 0.31535336789449392 | Time = 157s
Step 432000 | Order = 0.40401627371621651 | Time = 158s
Step 433000 | Order = 0.3069272481806829 | Time = 158s
Step 434000 | Order = 0.30831898070906261 | Time = 158s
Step 435000 | Order = 0.22613905960313765 | Time = 159s
Step 436000 | Order = 0.24749087001020653 | Time = 159s
Step 437000 | Order = 0.14296297717815454 | Time = 159s
Step 438000 | Order = 0.14401156130047921 | Time = 160s
Step 439000 | Order = 0.079419496771165748 | Time = 160s
Step 440000 | Order = 0.10799347887250128 | Time = 161s
Step 441000 | Order = 0.13321447225455593 | Time = 161s
Step 442000 | Order = 0.17811678881199752 | Time = 161s
Step 443000 | Order = 0.23192762812733653 | Time = 162s
Step 444000 | Order = 0.25352670471463234 | Time = 162s
Step 445000 | Order = 0.19379447594319291 | Time = 162s
Step 446000 | Order = 0.34017003823186293 | Time = 163s
Step 447000 | Order = 0.28931295084417691 | Time = 163s
Step 448000 | Order = 0.14519187631305597 | Time = 163s
Step 449000 | Order = 0.17027791267668077 | Time = 164s
Step 450000 | Order = 0.44932423324539517 | Time = 164s
Step 451000 | Order = 0.29405604769567917 | Time = 164s
Step 452000 | Order = 0.326589536236157 | Time = 165s
Step 453000 | Order = 0.45345716718844492 | Time = 165s
Step 454000 | Order = 0.5726552335271049 | Time = 166s
Step 455000 | Order = 0.48440138092284868 | Time = 166s
Step 456000 | Order = 0.44872146042998651 | Time = 166s
Step 457000 | Order = 0.37381240644303604 | Time = 167s
Step 458000 | Order = 0.31432543200191415 | Time = 167s
Step 459000 | Order = 0.27691247980701145 | Time = 167s
Step 460000 | Order = 0.22923599998444147 | Time = 168s
Step 461000 | Order = 0.29527711513177984 | Time = 168s
Step 462000 | Order = 0.27320829060515217 | Time = 168s
Step 463000 | Order = 0.16534144680900686 | Time = 169s
Step 464000 | Order = 0.24555373220344012 | Time = 169s
Step 465000 | Order = 0.2025555062437249 | Time = 169s
Step 466000 | Order = 0.29631843130355179 | Time = 170s
Step 467000 | Order = 0.048817683508489258 | Time = 170s
Step 468000 | Order = 0.18308785189012775 | Time = 171s
Step 469000 | Order = 0.1084908982051908 | Time = 171s
Step 470000 | Order = 0.22263548040329773 | Time = 171s
Step 471000 | Order = 0.28596968529175465 | Time = 172s
Step 472000 | Order = 0.16790868916857846 | Time = 172s
Step 473000 | Order = 0.20626168033260064 | Time = 172s
Step 474000 | Order = 0.21562469495381312 | Time = 173s
Step 475000 | Order = 0.19345813963834008 | Time = 173s
Step 476000 | Order = 0.24956653400979326 | Time = 174s
Step 477000 | Order = 0.33256856070120044 | Time = 174s
Step 478000 | Order = 0.41342700008475808 | Time = 174s
Step 479000 | Order = 0.38287894954167112 | Time = 175s
Step 480000 | Order = 0.34115584951421979 | Time = 175s
Step 481000 | Order = 0.29803416349002926 | Time = 175s
Step 482000 | Order = 0.29598535286261579 | Time = 176s
Step 483000 | Order = 0.36083280778612659 | Time = 176s
Step 484000 | Order = 0.21368561351792664 | Time = 177s
Step 485000 | Order = 0.24109373475110571 | Time = 177s
Step 486000 | Order = 0.25940164014493144 | Time = 177s
Step 487000 | Order = 0.3094205377240552 | Time = 178s
Step 488000 | Order = 0.45303395935066221 | Time = 178s
Step 489000 | Order = 0.50528685726153921 | Time = 178s
Step 490000 | Order = 0.42198781542336655 | Time = 179s
Step 491000 | Order = 0.37051848340248994 | Time = 179s
Step 492000 | Order = 0.22993888420560593 | Time = 179s
