Simulation #129, Parameters: eta = 0.491193 | rho = 0.328872 | v0 = 0.0800051s
Step 344000 | Order = 0.02335597899302155 | Time = 149s
Step 345000 | Order = 0.023771366469135097 | Time = 149s
Step 346000 | Order = 0.004739743959192709 | Time = 150s
Step 347000 | Order = 0.0061535864839804997 | Time = 150s
Step 348000 | Order = 0.027992906650016577 | Time = 151s
Step 349000 | Order = 0.015938424381904407 | Time = 151s
Step 350000 | Order = 0.0076936302546050279 | Time = 152s
Step 351000 | Order = 0.029677746529759044 | Time = 152s
Step 352000 | Order = 0.029674479660135835 | Time = 153s
Step 353000 | Order = 0.027004797070787043 | Time = 153s
Step 354000 | Order = 0.03195964464701103 | Time = 154s
Step 355000 | Order = 0.026343404574307776 | Time = 154s
Step 356000 | Order = 0.003238539549776195 | Time = 155s
Step 357000 | Order = 0.021827565111904413 | Time = 155s
Step 358000 | Order = 0.0051645213491504794 | Time = 156s
Step 359000 | Order = 0.030692885162682225 | Time = 156s
Step 360000 | Order = 0.029866838170188457 | Time = 157s
Step 361000 | Order = 0.023155423693430849 | Time = 157s
Step 362000 | Order = 0.013365729080970928 | Time = 158s
Step 363000 | Order = 0.0055224415225075983 | Time = 158s
Step 364000 | Order = 0.013800406167893598 | Time = 159s
Step 365000 | Order = 0.016454511807571327 | Time = 159s
Step 366000 | Order = 0.0090442349407829532 | Time = 160s
Step 367000 | Order = 0.014648937815501282 | Time = 160s
Step 368000 | Order = 0.011047548161547667 | Time = 160s
Step 369000 | Order = 0.010311519976397145 | Time = 161s
Step 370000 | Order = 0.028283281799952997 | Time = 161s
Step 371000 | Order = 0.029964871422642838 | Time = 162s
Step 372000 | Order = 0.014539333631853727 | Time = 162s
Step 373000 | Order = 0.0048812678469932532 | Time = 162s
Step 374000 | Order = 0.01975095376261642 | Time = 163s
Step 375000 | Order = 0.03320233115586587 | Time = 163s
Step 376000 | Order = 0.021474802629436768 | Time = 164s
Step 377000 | Order = 0.027634538183160948 | Time = 164s
Step 378000 | Order = 0.015971775932773234 | Time = 164s
Step 379000 | Order = 0.024153191003161097 | Time = 165s
Step 380000 | Order = 0.0058789854650227917 | Time = 165s
Step 381000 | Order = 0.0074946193477445902 | Time = 166s
Step 382000 | Order = 0.028767387711858949 | Time = 166s
Step 383000 | Order = 0.017754976525687617 | Time = 166s
Step 384000 | Order = 0.024075849693683496 | Time = 167s
Step 385000 | Order = 0.022019874370613361 | Time = 167s
Step 386000 | Order = 0.01055677293480695 | Time = 168s
Step 387000 | Order = 0.018133354707735402 | Time = 168s
Step 388000 | Order = 0.031454369585729988 | Time = 168s
Step 389000 | Order = 0.0065365068850111816 | Time = 169s
Step 390000 | Order = 0.048275555603096515 | Time = 169s
Step 391000 | Order = 0.013243094675377881 | Time = 170s
Step 392000 | Order = 0.014638198901540776 | Time = 170s
Step 393000 | Order = 0.029253759217988784 | Time = 170s
Step 394000 | Order = 0.022686448672183317 | Time = 171s
Step 395000 | Order = 0.016476529582243743 | Time = 171s
Step 396000 | Order = 0.016510679950227616 | Time = 172s
Step 397000 | Order = 0.014431634791875687 | Time = 172s
Step 398000 | Order = 0.017725422144883027 | Time = 173s
Step 399000 | Order = 0.0045697942430061337 | Time = 173s
Step 400000 | Order = 0.019882871396394674 | Time = 173s
Step 401000 | Order = 0.033002027850402176 | Time = 175s
Step 402000 | Order = 0.0089908731035131233 | Time = 175s
Step 403000 | Order = 0.006513401140666542 | Time = 175s
Step 404000 | Order = 0.011418860276697994 | Time = 176s
Step 405000 | Order = 0.010128914077956493 | Time = 176s
Step 406000 | Order = 0.01539705230899681 | Time = 177s
Step 407000 | Order = 0.026727939734334325 | Time = 177s
Step 408000 | Order = 0.030228491824061 | Time = 178s
Step 409000 | Order = 0.0089054875962619948 | Time = 178s
Step 410000 | Order = 0.027929667559328845 | Time = 179s
Step 411000 | Order = 0.0060309925992543516 | Time = 179s
Step 412000 | Order = 0.0075863960332768678 | Time = 179s
Step 413000 | Order = 0.008294135620116971 | Time = 180s
Step 414000 | Order = 0.026691322146722186 | Time = 180s
Step 415000 | Order = 0.026086739463375738 | Time = 181s
Step 416000 | Order = 0.02673614228432861 | Time = 181s
Step 417000 | Order = 0.028787274749349657 | Time = 182s
Step 418000 | Order = 0.016420987146790019 | Time = 182s
Step 419000 | Order = 0.012628429250711866 | Time = 183s
Step 420000 | Order = 0.035360629874629908 | Time = 183s
Step 421000 | Order = 0.0012925743662084992 | Time = 183s
Step 422000 | Order = 0.014948405139591253 | Time = 184s
Step 423000 | Order = 0.038542226623586293 | Time = 185s
Step 424000 | Order = 0.025242274145217569 | Time = 185s
Step 425000 | Order = 0.0087643294744943947 | Time = 185s
Step 426000 | Order = 0.029826813017136387 | Time = 186s
Step 427000 | Order = 0.02242978449014912 | Time = 186s
Step 428000 | Order = 0.022871892795646564 | Time = 187s
Step 429000 | Order = 0.0088722845466097586 | Time = 187s
Step 430000 | Order = 0.023005587809077764 | Time = 188s
Step 431000 | Order = 0.014629202289074201 | Time = 188s
Step 432000 | Order = 0.021028061761077674 | Time = 189s
Step 433000 | Order = 0.046904191974380179 | Time = 189s
Step 434000 | Order = 0.015729643612872862 | Time = 189s
Step 435000 | Order = 0.0044241807247260845 | Time = 190s
Step 436000 | Order = 0.019983381990587825 | Time = 190s
Step 437000 | Order = 0.018623580812668988 | Time = 191s
Step 438000 | Order = 0.020287164592541724 | Time = 191s
Step 439000 | Order = 0.021190293501339299 | Time = 192s
Step 440000 | Order = 0.006022393211265087 | Time = 192s
Step 441000 | Order = 0.034037440392201482 | Time = 193s
Step 442000 | Order = 0.016438635701097846 | Time = 193s
Step 443000 | Order = 0.028254654393270767 | Time = 194s
Step 444000 | Order = 0.017721194530836537 | Time = 194s
Step 445000 | Order = 0.018283689252791144 | Time = 194s
