Simulation #122, Parameters: eta = 0.095840 | rho = 0.106524 | v0 = 0.0634708s
Step 390000 | Order = 0.29427767641028202 | Time = 77s
Step 391000 | Order = 0.27211433549721514 | Time = 77s
Step 392000 | Order = 0.31377215453002238 | Time = 77s
Step 393000 | Order = 0.38824174908690068 | Time = 77s
Step 394000 | Order = 0.46011321759847207 | Time = 77s
Step 395000 | Order = 0.43991298438716547 | Time = 78s
Step 396000 | Order = 0.42460843543762622 | Time = 78s
Step 397000 | Order = 0.30724929607954082 | Time = 78s
Step 398000 | Order = 0.39720426403396231 | Time = 78s
Step 399000 | Order = 0.27235270054654437 | Time = 78s
Step 400000 | Order = 0.077376378613413954 | Time = 78s
Step 401000 | Order = 0.16531103541923597 | Time = 79s
Step 402000 | Order = 0.20403747338921024 | Time = 79s
Step 403000 | Order = 0.17471477792516177 | Time = 79s
Step 404000 | Order = 0.22664402382231708 | Time = 80s
Step 405000 | Order = 0.25306266219450901 | Time = 80s
Step 406000 | Order = 0.25643046011666548 | Time = 80s
Step 407000 | Order = 0.46330578058369121 | Time = 80s
Step 408000 | Order = 0.45363819109256315 | Time = 80s
Step 409000 | Order = 0.51389835466533929 | Time = 80s
Step 410000 | Order = 0.39354140445123881 | Time = 81s
Step 411000 | Order = 0.39505353140876576 | Time = 81s
Step 412000 | Order = 0.26704062328209688 | Time = 81s
Step 413000 | Order = 0.27695488913104566 | Time = 81s
Step 414000 | Order = 0.41171949599153534 | Time = 81s
Step 415000 | Order = 0.52076358293623048 | Time = 82s
Step 416000 | Order = 0.508883099291494 | Time = 82s
Step 417000 | Order = 0.48091305812079616 | Time = 82s
Step 418000 | Order = 0.53157729650201679 | Time = 82s
Step 419000 | Order = 0.58948422007656676 | Time = 82s
Step 420000 | Order = 0.63187887852446489 | Time = 83s
Step 421000 | Order = 0.39678644797582457 | Time = 83s
Step 422000 | Order = 0.28078836510588057 | Time = 83s
Step 423000 | Order = 0.22642135213086778 | Time = 83s
Step 424000 | Order = 0.31311749949614109 | Time = 83s
Step 425000 | Order = 0.17724991231875376 | Time = 84s
Step 426000 | Order = 0.25082793181373675 | Time = 84s
Step 427000 | Order = 0.31801230643779366 | Time = 84s
Step 428000 | Order = 0.12581128180761231 | Time = 84s
Step 429000 | Order = 0.25266158766049429 | Time = 84s
Step 430000 | Order = 0.037894991061253915 | Time = 85s
Step 431000 | Order = 0.077721364583565392 | Time = 85s
Step 432000 | Order = 0.059206021803566121 | Time = 85s
Step 433000 | Order = 0.39405271611671289 | Time = 85s
Step 434000 | Order = 0.32793103387515887 | Time = 85s
Step 435000 | Order = 0.28759604636789537 | Time = 86s
Step 436000 | Order = 0.33700858335443107 | Time = 86s
Step 437000 | Order = 0.22278601925436547 | Time = 86s
Step 438000 | Order = 0.20070636661511704 | Time = 86s
Step 439000 | Order = 0.32772609202866509 | Time = 86s
Step 440000 | Order = 0.21698072570111721 | Time = 87s
Step 441000 | Order = 0.14650258825758106 | Time = 87s
Step 442000 | Order = 0.33426481257562851 | Time = 87s
Step 443000 | Order = 0.3200612828452199 | Time = 87s
Step 444000 | Order = 0.26400121139336946 | Time = 87s
Step 445000 | Order = 0.41549681969433827 | Time = 88s
Step 446000 | Order = 0.53568418559159647 | Time = 88s
Step 447000 | Order = 0.55035644071978718 | Time = 88s
Step 448000 | Order = 0.43748453289313377 | Time = 88s
Step 449000 | Order = 0.43773598745583642 | Time = 88s
Step 450000 | Order = 0.12819948690391209 | Time = 89s
Step 451000 | Order = 0.1949336462825455 | Time = 89s
Step 452000 | Order = 0.35904398958038231 | Time = 89s
Step 453000 | Order = 0.48657192081775141 | Time = 89s
Step 454000 | Order = 0.44977574998088032 | Time = 89s
Step 455000 | Order = 0.55697147968452676 | Time = 90s
